Date,FVX,GSPC,AMD,AMZN,GOOGL,MSFT,WMT
7/1/14,1.763,1930.670044,3.91,312.98999,579.549988,38.998959,65.801804
8/1/14,1.628,2003.369995,4.17,339.040009,582.359985,41.050098,67.518799
9/1/14,1.78,1972.290039,3.41,322.440002,588.409973,42.152081,68.836792
10/1/14,1.613,2018.050049,2.8,305.459991,567.869995,42.688526,68.656769
11/1/14,1.511,2067.560059,2.79,338.640015,549.080017,43.470474,78.801796
12/1/14,1.653,2058.899902,2.67,310.350006,530.659973,42.500294,77.307503
1/1/15,1.187,1994.98999,2.57,354.529999,537.549988,36.964733,76.924713
2/1/15,1.505,2104.5,3.11,380.160004,562.630005,40.121365,75.974236
3/1/15,1.375,2067.889893,2.68,372.100006,554.700012,37.467381,74.453476
4/1/15,1.442,2085.51001,2.26,421.779999,548.77002,44.820786,71.075958
5/1/15,1.467,2107.389893,2.28,429.230011,545.320007,43.180553,67.633713
6/1/15,1.628,2063.110107,2.4,434.089996,540.039978,40.947735,64.999817
7/1/15,1.548,2103.840088,1.93,536.150024,657.5,43.31279,65.962036
8/1/15,1.484,1972.180054,1.78,512.890015,647.820007,40.363434,59.318176
9/1/15,1.375,1920.030029,1.72,511.890015,638.369995,41.320454,59.824699
10/1/15,1.528,2079.360107,2.12,625.900024,737.390015,49.143898,52.812557
11/1/15,1.654,2080.409912,2.36,664.799988,762.849976,50.74033,54.288799
12/1/15,1.758,2043.939941,2.87,675.890015,778.01001,52.144402,56.558514
1/1/16,1.335,1940.23999,2.2,587,761.349976,51.777847,61.739971
2/1/16,1.22,1932.22998,2.14,552.52002,717.219971,47.820961,61.721363
3/1/16,1.224,2059.73999,2.85,593.640015,762.900024,52.282135,63.721684
4/1/16,1.279,2065.300049,3.55,659.590027,707.880005,47.208221,62.675041
5/1/16,1.359,2096.949951,4.57,722.789978,748.849976,50.171154,66.339752
6/1/16,1.011,2098.860107,5.14,715.619995,703.530029,48.77763,68.940308
7/1/16,1.033,2173.600098,6.86,758.809998,791.340027,54.030018,68.893112
8/1/16,1.18,2170.949951,7.4,769.159973,789.849976,54.773552,67.448593
9/1/16,1.156,2168.27002,6.91,837.309998,804.059998,55.249226,68.55674
10/1/16,1.313,2126.149902,7.23,789.820007,809.900024,57.474541,66.560478
11/1/16,1.834,2198.810059,8.91,750.570007,775.880005,57.800663,66.950233
12/1/16,1.889,2238.830078,11.34,768.659973,809.450012,60.006588,65.704941
1/1/17,1.908,2278.870117,10.37,823.47998,820.190002,62.430424,63.89661
2/1/17,1.88,2363.639893,14.46,845.039978,844.929993,61.783424,67.908096
3/1/17,1.929,2362.719971,14.55,886.539978,847.799988,63.98444,69.009102
4/1/17,1.816,2384.199951,13.3,924.98999,924.52002,66.510399,72.506271
5/1/17,1.748,2411.800049,11.19,994.619995,987.090027,67.851097,75.804634
6/1/17,1.885,2423.409912,12.48,968,929.679993,67.350868,73.476929
7/1/17,1.832,2470.300049,13.61,987.780029,945.5,71.0345,77.661461
8/1/17,1.707,2471.649902,13.02,980.599976,955.23999,73.057076,75.797356
9/1/17,1.928,2519.360107,12.75,961.349976,973.719971,73.171272,76.342506
10/1/17,2.01,2575.26001,10.99,1105.280029,1033.040039,81.707436,85.301575
11/1/17,2.144,2584.840088,10.89,1176.75,1036.170044,82.679909,94.993385
12/1/17,2.206,2673.610107,10.28,1169.469971,1053.400024,84.447639,96.478416
1/1/18,2.524,2823.810059,13.74,1450.890015,1182.219971,93.796707,104.696709
2/1/18,2.65,2713.830078,12.11,1512.449951,1103.920044,92.57254,88.402924
3/1/18,2.562,2640.870117,10.05,1447.339966,1037.140015,90.527733,87.381493
4/1/18,2.789,2648.050049,10.88,1566.130005,1018.580017,92.75943,87.398575
5/1/18,2.664,2705.27002,13.73,1629.619995,1100,98.036163,81.549614
6/1/18,2.731,2718.370117,14.99,1699.800049,1129.189941,98.231979,85.155411
7/1/18,2.848,2816.290039,18.33,1777.439941,1227.219971,105.67334,88.714737
8/1/18,2.735,2901.52002,25.17,2012.709961,1231.800049,111.899384,95.30645
9/1/18,2.823,2871.679932,27.379999,1952.069946,1177.589966,108.209999,95.830002
9/7/18,2.823,2871.679932,27.379999,1952.069946,1177.589966,108.209999,95.830002
